no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423615276,8,5.0,1.0,6902458,0,8,5,7,8,8,450000,5,5,3500000.0,200,8
423259006,8,1.0,1.0,4000000,0,8,8,1,3,3,1900000,2,8,0.0,3960000,7
423436441,8,14.0,14.0,2000000,2000000,8,7,3,1,6,500000,3,7,2000000.0,0,7
423189830,8,5.0,5.0,5553600,4294400,8,8,4,5,3,285000,2,8,0.0,250000,8
423007393,8,5.0,1.0,4676800,0,8,2,8,4,5,60000,3,4,0.0,213000,6
423101853,8,14.0,12.0,4300000,0,8,4,5,1,6,144375,1,4,3000000.0,0,8
423120443,8,10.0,1.0,7500000,0,8,8,5,4,6,1400000,3,8,2500000.0,0,8
423319825,8,12.0,1.0,3445000,0,8,6,3,6,6,400000,2,6,2000000.0,400000,7
423120602,8,13.0,1.0,0,0,1,1,4,3,3,0,2,1,0.0,0,2
423350330,8,1.0,5.0,0,4799500,8,5,5,4,3,125000,2,8,0.0,400000,7
423642460,8,9.0,1.0,4800000,0,8,1,300000,7,7,275000,4,1,1900000.0,170000,8
423560564,8,6.0,6.0,3000000,1500000,8,6,4,1,6,400000,1,6,2700000.0,300000,7
423110943,8,5.0,1.0,3581700,0,8,6,3,7,3,550000,3,6,0.0,199000,7
423222399,4,9.0,6.0,3500000,4000000,8,6,6,1,4,0,1,6,0.0,360000,7
423017194,8,10.0,1.0,5000000,0,8,8,3,5,6,500000,3,8,1350000.0,125000,8
423645610,8,11.0,1.0,3100000,0,8,5,3,4,4,150000,3,5,0.0,364000,7
423461040,8,9.0,14.0,4000000,0,8,3,5,3,4,330000,3,3,0.0,200000,6
423009113,4,9.0,6.0,2000000,4000000,8,8,3,4,4,135000,3,8,0.0,135000,7
423379591,4,12.0,5.0,4173000,4519900,8,8,5,7,6,0,2,8,1844000.0,183500,8
423107651,4,5.0,5.0,4456300,3223500,8,8,3,7,7,150000,3,8,2200000.0,600000,8
423416921,6,6.0,1.0,4650000,0,8,8,3,5,4,500000,3,8,0.0,350000,5
423118531,6,13.0,9.0,0,2500000,8,4,3,4,4,125000,3,4,0.0,420000,1
423426658,6,9.0,5.0,500000,4618900,8,8,3,3,3,0,2,8,0.0,255000,4
423033250,6,5.0,1.0,7769800,0,8,8,2,5,6,350000,3,8,1050000.0,189500,6
423067802,6,3.0,3.0,2000000,0,8,2,4,2,1,300,2,2,0.0,0,1
423423063,6,11.0,1.0,2500000,0,8,4,3,3,4,60000,2,4,0.0,314000,3
423121499,6,5.0,5.0,5031500,4449000,8,8,5,4,3,1400000,5,8,2500000.0,350000,8
423454733,5,10.0,1.0,2500000,0,8,1,6,3,3,200000,4,1,0.0,200000,6
423223005,5,3.0,3.0,2000000,1500000,8,3,5,3,4,0,2,3,0.0,250000,4
423210722,5,9.0,1.0,2000000,0,8,8,1,3,3,500000,1,8,1500000.0,150000,7
423662783,5,14.0,5.0,13761860,4601072,8,8,6,7,8,0,4,8,3200000.0,300000,8
423640284,5,9.0,5.0,2000000,5414100,8,8,4,4,4,167000,2,8,0.0,290000,7
423058647,5,10.0,5.0,1000000,4618000,8,6,5,5,4,250000,2,5,0.0,200000,8
423507203,5,9.0,1.0,26000000,0,8,8,4,1,6,50000,5,8,2627000.0,419000,8
423314175,5,9.0,1.0,7500000,0,8,6,6,5,3,1200000,4,6,4800000.0,600000,8
423015349,5,9.0,1.0,1500000,0,8,1,4,3,3,85000,2,1,0.0,250000,5
423515580,8,6.0,1.0,3500000,0,8,3,5,5,4,170000,3,6,0.0,215000,6
423313772,8,3.0,13.0,4500000,0,8,4,5,7,3,200000,3,8,0.0,150000,7
423120325,5,10.0,6.0,3500000,8949000,8,8,2,6,6,1400000,3,8,1500000.0,0,8
423612356,5,7.0,1.0,1500000,0,8,3,2,1,3,250000,2,3,0.0,180000,4
423338487,8,11.0,5.0,2000000,4000000,8,8,4,3,3,0,2,8,2000000.0,135000,7
423406761,5,5.0,5.0,4193500,3500000,8,8,4,8,4,60000,3,8,0.0,1000000,8
423103302,4,5.0,7.0,5300700,1000000,8,8,3,3,7,0,2,8,2784000.0,250000,8
423271558,8,11.0,1.0,1900000,0,8,1,4,3,3,0,2,1,0.0,200000,4
423643219,5,12.0,1.0,5126000,0,8,5,5,4,4,0,2,4,0.0,400000,7
423095350,8,6.0,1.0,7203000,0,8,8,5,1,1,410000,4,8,0.0,0,7
423610989,5,1.0,5.0,0,5916100,8,8,4,5,6,0,4,8,1160000.0,150000,7
423442875,8,7.0,1.0,3000000,0,8,2,5,4,3,0,2,8,0.0,200000,6
423002904,8,3.0,1.0,2400000,0,8,1,6,3,4,120000,1,3,0.0,180000,6
423442788,8,11.0,1.0,2000000,0,8,2,4,1,1,300000,3,5,0.0,0,4
423500600,4,9.0,1.0,1500000,0,8,1,5,3,4,100000,4,1,0.0,200000,3
423678046,8,13.0,7.0,0,500000,2,1,7,2,3,50000,1,1,0.0,0,1
423076975,8,11.0,1.0,1500000,0,8,1,9,7,5,150000,2,1,0.0,0,6
423411867,9,13.0,3.0,0,500000,2,1,2,1,1,130000,2,1,0.0,0,2
423229241,8,14.0,14.0,0,650000,2,1,5,7,4,650000,4,1,0.0,0,7
423456220,8,11.0,1.0,1500000,0,8,1,6,4,1,200000,1,1,0.0,0,5
423078183,8,7.0,1.0,1500000,0,8,1,7,4,3,200000,2,1,0.0,151500,5
423635807,8,11.0,1.0,3500000,0,8,3,5,1,3,110000,2,3,0.0,252000,3
423210702,8,9.0,1.0,2000000,0,8,1,6,1,1,250000,2,1,0.0,0,4
423221207,8,10.0,14.0,3500000,3000000,8,8,4,7,3,450000,3,8,1700000.0,246000,8
423629127,8,5.0,5.0,7004533,5900000,8,8,5,7,4,60000,3,8,0.0,673000,7
423159242,8,12.0,12.0,4000000,4000000,8,8,1,7,6,150000,2,8,2000000.0,250000,7
